answer,question
"The iManage server setting in Power PDF is stored in a file called: imanage_connections.xml and it is located in C:\Users\[UserName]\AppData\Roaming\Kofax\PDF\V1\ folder. Once a connection is made to the iManage system the server information will be populated and the file can be copied to use on another machine.
Level of Complexity
Moderate",How to pre-populate the iManage Work 10 server information for Power PDF
"This error indicates that the iManage server returned a login error, when authenticating with Power PDF and since iManage can use a V2 Universal Rest API and sends a request to the server to connect. The reason this fails is that the server is missing an 'application' that enables the correct V2 side API that power PDF is asking to handshake and connect with natively and then the token for authentication is set.
To resolve this, follow the Network Installation Guide Page 57/58 which lay out the steps and place the correct values at the iManage control centre, and when everything is configured then ensure to enable the application and allow the refresh token to activate so that powerPDF can natively use Oauth2 and the Credential cache setting so it can allow single sign on to function on a consistent basis when documents are opened from imanage to work on the checked out PDF.
Here is a link to the steps to follow:
https://docshield.kofax.com/Portal/P...f/PowerPDF.htm
After setting this try again to connect with power PDF and the error should not appear again.
Level of Complexity
High",Power PDF IManage 10 Connection error 'NoneType' object has no attribute 'name'
The Kofax Power PDF development team has confirmed that Power PDF is not affected by this vulnerability,Power PDF and Spring4Shell vulnerability (CVE-2022-22965)
"Problem:
Power PDF is trying to verify digital signatures when documents are opened, and causing stability issues with Power PDF.
Solution:
Disable the option to verify signatures when the document is opened.
File -> Options -> Signatures Verification -> More
Uncheck Verify signatures when the document is opened..",Power PDF is trying to verify digital signatures when documents are opened.
"Problem:
Table of Contents does not correctly save a user created Style.
Solution:
In the folder ""%appdata%\Kofax\PDF\PowerPDF\BuildContents\ENU\, delete the Content.xml"" file.",Table of Contents does not correctly save a user created Style.
"Problem:
When clicking on File/Share/E-mail, Outlook opens instead of Thunderbird, even when Mozilla Thunderbird is set to the default e-mail client, and wants to send PDFs by mail via Thunderbird.
Solution:
Power PDF is looking for the following registry hive HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\App Paths\OUTLOOK.exe.
So, as long as this registry entry is on the system, Power PDF will try to launch Outlook, regardless of what email client is installed and/or set as the default mail application in Windows.
This seems to be hard coded into Power PDF, and cannot be changed. However, I have found 2 workarounds other than uninstalling Outlook that have worked on a test system.
Option 1:
Uninstall Outlook.
Option 2:
The following will prevent Outlook from being used.
Rename C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE to C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE.old
Option 3:
The following will allow Outlook to be used, but will allow Power PDF to use the default email client.
Rename the following registry hive from:
HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\App Paths\OUTLOOK.exe
to
HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\App Paths\XXXXXXXXXXXXXXXX_OUTLOOK.EXE",Unable share to mail via Thunderbird within Power PDF.
"The Auto save files are saved in this folder: C:\Users\<account>\AppData\Roaming\Kofax\PDF\PowerPDF\ZAutoSave
so when looking in the recovery folder, you will notice some files: .ASD, .ASO and an XML file - these are needed to allow the auto recovery pane to be displayed when the file is recovered after power PDF closes.
The .Aso can be renamed with the page content the user was working on.
There is no way to change this location.
Level of Complexity
Moderate",Where does Power PDF 3x 4x 5x store the Auto-Save temp files?
"Kofax development was contacted and confirmed this workaround that can be applied to all users via two lines added to an configuration file will return the functionality to work as user expected from the older releases, follow the below steps with power PDF closed and the iManage client Filesite or Desksite.
Create: C:\ProgramData\Kofax\PDFProDMS.ini
Add the two lines in notepad and save this
[WorkSite]
USE_TEMP_FOR_OPEN=1
Then open a document from the imanage connector and then click on File -> Share -> email - Whole document.
Now instead of seeing the document number only, the shared PDF document will display the document title .pdf within its attachment.
This ini file can be pushed out to all classic client imanage users via GPO or batch file
Level of Complexity
Moderate",iManage PDF's shared from Power PDF use the document number instead of the document name
"Yes, not within our product documentation but there is a method to restore a hidden functionality of the 'sign and certify tools'
there is master file that power PDF uses called the product config that is customized when a power PDF installation has variables set to turn off
the ability to use the sign and certify tools on the ribbon.
This is set on one system in the product config.ini ->
DIGSIGN=1 (indicates digital signing enabled)
if it is turned off like in the above scenerio it will be a zero. With power PDF closed simply edit the below file to set this to a ""1"" in C:\ProgramData\Kofax\PDF\PowerPDF\Preferences\ProductConfig.ini
This file then can be pushed out to all users at time of log in via supporting user profile scripting methods available for the platform to make the change.
Level of Complexity
Moderate","After deploying power PDF with an network customized package disabling the signing feature, administrator would like to re enable this silently"
"Please open a technical support case with power PDF technical support to obtain the manual fix for this issue involving code binaries, the official release will correct this display issue in the upcoming power PDF patch KofaxPowerPDFAdvanced-4.1.0.9 at the end of June.
Please install FP9 or higher to resolve this going forward
Level of Complexity
Moderate","After upgrading to power PDF 4.1, specific document containing barcodes are not displayed correctly"
"Problem:
Converting Word documents crashes Power PDF.
Solution:
If the Windows Event Viewer is showing recdiag.dll as the faulting module, there could be a conflict with another application using a file called recdiag.dll. Search the computer for multiple copies of the recdiag.dll on the system. If there is another application using the same file, uninstall that application.",Converting Word documents crashes Power PDF
"Kofax R&D worked together alongside iManage support to resolve this issue, within the integration for iManage when Fixpack 8 or higher is installed to Power PDF 4.1
related to the recent folder character length exceeding 260 characters on the disk - We cannot at this time support a longer file name path so shortening this should allow the issue to be resolved as well OR if with the new code changes- Power PDF will now truncate the name of the PDF when it is trying to open rather that throwing error 500 and this matches the native iManage behavior.
Level of Complexity
High",Error 500 appears in Power PDF when opening a document from iManage 10 using the connector integration
